PLOT,SPECIES,DOY,# FLOWERS,YEAR,HABITAT,
RM3,Claytonia lanceolata,157,260,1973,d,
RM1,Claytonia lanceolata,157,291,1973,d,
RM4,Claytonia lanceolata,157,380,1973,d,
RM5,Claytonia lanceolata,157,254,1973,d,
RM4,Erythronium grandiflorum,157,33,1973,d,
RM2,Mertensia fusiformis,157,44,1973,d,
RM3,Claytonia lanceolata,159,112,1973,d,
RM3,Mertensia fusiformis,159,47,1973,d,
RM1,Claytonia lanceolata,159,148,1973,d,
RM4,Claytonia lanceolata,159,137,1973,d,
RM5,Claytonia lanceolata,159,64,1973,d,
RM4,Erythronium grandiflorum,159,72,1973,d,
RM1,Mertensia fusiformis,159,52,1973,d,
RM2,Mahonia repens,159,2,1973,d,
RM2,Mertensia fusiformis,159,87,1973,d,
RM2,Viola praemorsa,159,2,1973,d,
RM3,Claytonia lanceolata,160,65,1973,d,
RM3,Mertensia fusiformis,160,69,1973,d,
RM1,Claytonia lanceolata,160,75,1973,d,
RM4,Claytonia lanceolata,160,193,1973,d,
RM5,Claytonia lanceolata,160,43,1973,d,
RM4,Erythronium grandiflorum,160,31,1973,d,
RM1,Mertensia fusiformis,160,83,1973,d,
RM5,Mertensia fusiformis,160,4,1973,d,
RM2,Mahonia repens,160,3,1973,d,
RM2,Mertensia fusiformis,160,66,1973,d,
RM2,Viola praemorsa,160,2,1973,d,
RM3,Claytonia lanceolata,161,12,1973,d,
RM3,Mertensia fusiformis,161,42,1973,d,
RM3,Viola praemorsa,161,2,1973,d,
RM1,Claytonia lanceolata,161,34,1973,d,
RM4,Claytonia lanceolata,161,38,1973,d,
RM5,Claytonia lanceolata,161,8,1973,d,
RM4,Erythronium grandiflorum,161,15,1973,d,
RM1,Mertensia fusiformis,161,103,1973,d,
RM4,Mertensia fusiformis,161,8,1973,d,
RM5,Mertensia fusiformis,161,10,1973,d,
RM2,Mahonia repens,161,3,1973,d,
RM2,Mertensia fusiformis,161,66,1973,d,
RM2,Viola praemorsa,161,2,1973,d,
RM3,Claytonia lanceolata,163,3,1973,d,
RM3,Delphinium nuttallianum,163,2,1973,d,
RM3,Mertensia fusiformis,163,67,1973,d,
RM3,Viola praemorsa,163,4,1973,d,
